Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	SPb IFMO 1	+ (19:35)	+5 (239:04)	+ (146:26)	+ (158:55)	+ (251:23)	+ (34:11)	+ (98:57)	+ (110:31)	.	+ (56:12)	+1 (293:23)	10	1524
2	Nizhny Novgorod SU 2	+ (22:38)	-3	+ (97:22)	-3	+ (135:51)	+1 (57:00)	+ (67:40)	+ (81:46)	-4	+ (130:47)	+ (168:20)	8	777
3	Moscow SU 3	+1 (74:41)	.	+ (223:09)	+1 (241:19)	+1 (271:11)	+1 (111:03)	+ (225:38)	+1 (44:33)	.	+2 (164:28)	-3	8	1493
4	SPb SU 4	+ (46:17)	.	+1 (66:07)	-1	+ (200:44)	+ (20:09)	+ (110:24)	+ (135:29)	.	+ (100:08)	-1	7	697
5	Moscow SU 2	+ (11:27)	.	+ (53:42)	.	+3 (221:14)	+ (20:14)	+ (227:16)	+ (40:33)	.	+ (70:04)	-4	7	702
6	Perm SU	+ (34:19)	.	+ (107:35)	-4	+ (133:05)	+1 (53:22)	+ (171:10)	+ (185:33)	.	+ (56:21)	-4	7	759
7	Belarus SU 1	+1 (31:35)	-1	+ (181:47)	-15	+1 (235:31)	+ (46:34)	+ (125:55)	+1 (105:54)	-1	+1 (61:43)	.	7	864
8	Moscow SU 4	+ (51:32)	.	+1 (169:00)	-4	+2 (131:18)	+ (67:43)	+ (49:45)	+ (222:16)	.	+ (191:54)	.	7	940
9	SPb SU 1	+ (31:41)	.	+1 (207:13)	.	+5 (180:39)	+1 (60:11)	+1 (184:04)	+ (86:29)	.	+1 (127:17)	-14	7	1055
10	Izhevsk STU	+ (42:34)	.	+ (116:24)	.	-4	+5 (193:08)	+ (174:01)	+ (56:37)	.	+ (144:37)	+1 (261:08)	7	1106
11	Novosibirsk SU 4	+ (32:55)	.	+1 (200:08)	+1 (80:26)	-1	+3 (129:42)	+ (111:37)	+2 (164:33)	.	+1 (247:40)	-1	7	1123
12	Petrozavodsk SU 1	+ (25:33)	.	+ (121:50)	-5	+1 (286:06)	+1 (60:20)	+ (46:23)	+1 (203:13)	.	+6 (218:31)	.	7	1139
13	Kyrgyz Rus Slavic U 1	+ (56:06)	.	+ (39:55)	.	+1 (267:12)	+1 (84:07)	+ (232:27)	+4 (213:33)	.	+1 (109:56)	.	7	1140
14	Petrozavodsk SU 2	+ (61:13)	.	+1 (241:23)	.	+ (268:16)	+2 (43:07)	+ (168:28)	+ (201:04)	.	+ (114:17)	.	7	1156
15	Nizhny Novgorod SU 3	+2 (137:08)	-2	+1 (200:18)	.	+ (157:35)	+ (35:44)	+ (223:35)	+ (121:15)	.	+ (232:21)	.	7	1165
16	Tartu U 1	+1 (60:46)	.	+ (108:30)	.	+ (266:07)	+ (228:22)	+1 (204:52)	+1 (97:33)	.	+ (170:31)	-1	7	1193
17	Belarus SU 2	+ (23:42)	.	+11 (296:44)	.	+1 (229:26)	+ (42:04)	+1 (106:11)	+ (158:12)	.	+ (120:53)	.	7	1234
18	SPb IFMO 2	+1 (33:03)	.	+ (209:58)	.	+2 (296:57)	+ (54:59)	+3 (265:52)	+2 (120:23)	.	+ (139:45)	.	7	1276
19	Belarus SU 3	+ (69:11)	.	+ (291:50)	.	+1 (105:31)	+3 (71:33)	+ (248:20)	+1 (231:05)	.	+2 (154:18)	.	7	1309
20	Moscow SU 5	+ (229:08)	.	+ (169:51)	.	+1 (293:38)	+ (69:43)	+2 (244:21)	+2 (239:55)	.	+4 (272:39)	-6	7	1695
