Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
1	Ural Federal University 1 (Sivukhin, Danilyuk, Merkurev)	+ (13:04)	+ (132:45)	+1 (151:03)	+1 (236:53)	+ (8:04)	+2 (72:20)	+ (54:47)	+2 (289:54)	.	+ (33:48)	+1 (216:42)	+ (124:46)	11	1468
2	SPb State University 1 (Ershov, Gordeev, Pyshkin)	+ (7:42)	+1 (73:10)	+ (249:54)	.	+ (19:35)	+1 (93:35)	+2 (47:55)	+ (175:17)	.	+ (78:52)	+ (206:28)	+ (122:31)	10	1149
3	Moscow Institute of Physics and Technology 5 (Semenov, Smirnov, Zhuk)	+ (11:06)	+ (177:22)	+ (238:34)	+ (257:08)	+ (21:43)	+1 (73:34)	+ (37:14)	.	.	+1 (138:40)	+1 (102:13)	+ (153:10)	10	1267
4	Moscow State University 3 (Shlyunkin, Akhmedov, Gorbunov)	+ (11:35)	+ (253:11)	+ (273:49)	+ (295:59)	+ (19:13)	+ (59:27)	+ (29:22)	.	.	+ (109:31)	+ (184:57)	+ (88:27)	10	1320
5	SPb ITMO University 1 (Bardashevich, Kovsharov, Smykalov)	+1 (11:16)	+ (112:05)	+1 (200:28)	+5 (261:37)	+ (20:08)	+1 (90:17)	+ (76:22)	.	.	+ (96:54)	+2 (212:01)	+ (57:39)	10	1335
6	Nizhny Novgorod State University (Epifanov, Krivonosov, Kalinin)	+ (13:13)	+ (195:45)	+1 (229:27)	+ (145:58)	+1 (31:24)	+ (41:54)	+1 (72:28)	-1	.	+2 (77:11)	+2 (241:23)	+3 (161:07)	10	1405
7	Belarusian SU of Information and Radioelectronics 2 (Vistiazh, Sobal, Valchok)	+1 (17:23)	+ (287:35)	+ (194:00)	-2	+ (24:24)	+1 (90:03)	+1 (47:42)	.	.	+ (81:30)	+3 (144:00)	+ (192:12)	9	1196
8	Moscow State University 2 (Mokin, Shapovalov, Dubinin)	+ (12:36)	.	+ (241:33)	.	+ (18:10)	+3 (119:27)	+ (90:20)	+ (291:57)	.	+ (38:25)	+3 (294:29)	+1 (148:55)	9	1391
9	Saratov State University 4 (Kudasov, Davtyan, Sagunov)	+ (13:27)	.	+ (124:34)	+1 (219:19)	+ (34:32)	+1 (77:45)	+ (83:55)	-3	.	+ (159:54)	-3	+ (53:06)	8	802
10	SPb Academic University 1 (Podguzov, Smirnov, Bogomolov)	+ (7:10)	.	-3	+ (235:00)	+ (16:05)	+1 (121:36)	+ (61:37)	.	.	+ (102:51)	+ (133:47)	+ (182:11)	8	877
11	SPb State University 2 (Sayranov, Savchenkov, Makarov)	+ (17:43)	.	+ (286:49)	-6	+1 (29:17)	+ (96:16)	+ (109:51)	.	.	+ (119:45)	+ (174:44)	+ (92:11)	8	942
12	SPb State University 3 (Logunov, Ryazanov, Simonov)	+ (15:18)	.	.	+5 (266:38)	+ (21:59)	+1 (122:25)	+ (77:55)	.	.	+ (47:41)	+2 (141:11)	+1 (87:31)	8	956
13	Innopolis University (Savinov, Mashrabov, Kiyan)	+ (10:42)	+ (262:22)	.	-14	+ (19:53)	+1 (93:31)	+1 (91:34)	.	.	+ (152:29)	+ (257:18)	+1 (80:00)	8	1024
14	SPb ITMO University 2 (Belonogov, Podtelkin, Zban)	+ (9:05)	.	+1 (195:26)	+1 (218:11)	+ (14:36)	+2 (52:34)	+ (49:13)	.	.	-3	+3 (288:47)	+1 (128:24)	8	1113
15	Belarusian State University 1 (Shaftsialevich, Paliyevits, Sokal)	+ (12:20)	+1 (291:36)	+ (220:52)	.	+1 (57:24)	+4 (86:56)	+ (82:33)	.	.	+ (123:53)	.	+ (151:59)	8	1142
16	Saratov State University 2 (Glazov, Ripinen, Smirnov)	+ (14:09)	.	+1 (290:36)	.	+ (28:35)	+2 (161:28)	+ (60:54)	.	.	+ (112:45)	+1 (242:25)	+1 (237:31)	8	1244
