Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time
1	SPb State University 1 (Ershov, Pyshkin, Sayranov)	+ (31:15)	+4 (205:11)	+ (261:02)	.	+ (61:19)	+ (37:39)	.	+1 (58:33)	.	+2 (123:56)	.	+3 (294:14)	+2 (215:03)	9	1525
2	SPb ITMO University 1 (Belonogov, Smykalov, Zban)	+ (16:25)	-7	+1 (196:37)	.	+ (128:51)	+ (41:24)	+2 (205:13)	+1 (55:09)	.	+3 (86:07)	.	+ (108:08)	.	8	975
3	Moscow Institute of Physics and Technology 1 (Semenov, Smirnov, Zhuk)	+ (52:27)	-11	+1 (273:06)	.	+1 (104:17)	+ (25:11)	.	+ (20:00)	.	+ (55:11)	+ (258:21)	+1 (161:01)	.	8	1008
4	SPb ITMO University 2 (Budin, Putilin, Yakutov)	+ (44:59)	+3 (254:14)	.	.	+ (115:47)	+ (28:11)	.	+ (23:35)	.	+2 (102:45)	+1 (213:32)	+1 (272:22)	.	8	1191
5	Ural Federal University 1 (Borozdin, Kungurtsev, Leskov)	+ (49:13)	.	.	.	+ (81:40)	+ (87:07)	.	+1 (68:06)	.	+1 (141:51)	+ (164:41)	+ (253:22)	.	7	883
6	Perm State University 1 (Kuchumov, Mayorov, Pryshchenko)	+ (38:51)	+1 (204:22)	.	.	+ (90:27)	+1 (31:00)	.	+1 (91:44)	.	+2 (159:38)	-3	+1 (294:23)	.	7	1027
7	Moscow Institute of Physics and Technology 3 (Belykh, Popovkin, Proskurin)	+1 (35:38)	.	+1 (285:40)	.	+1 (157:01)	+1 (84:59)	.	+1 (65:33)	.	+3 (144:57)	+3 (252:03)	.	.	7	1242
8	SPb State University 3 (Makarov, Ryazanov, Savchenkov)	+ (80:50)	+1 (206:57)	.	.	+ (138:06)	+ (30:07)	.	+ (54:50)	.	+1 (124:08)	.	.	.	6	672
9	Belarusian SU of Informatics and Radioelectronics 1 (Sobal, Valchok, Vistiazh)	+1 (32:35)	-3	+ (194:31)	.	+2 (105:20)	+ (56:23)	.	+1 (65:54)	.	+2 (104:31)	.	.	.	6	676
10	Vilnius University (Jadenkus, Klimavičius, Traškevičius)	+ (73:46)	.	+ (142:26)	.	+ (261:37)	+ (23:38)	.	+2 (44:49)	.	+1 (163:59)	-1	.	.	6	766
