Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
1	Moscow SU 3 (Makeev, Reznikov, Ipatov)	+1 (115:00)	-10	+ (236:58)	.	+ (54:54)	+1 (26:29)	+ (29:59)	+2 (210:23)	+1 (279:48)	+ (242:51)	+ (162:26)	+ (18:51)	+2 (113:16)	11	1624	G
2	Moscow IPT 6 (Sergunin, Belykh, Stepanov)	+1 (46:42)	.	+ (174:50)	-1	+ (33:34)	+ (54:35)	+ (24:06)	.	+1 (216:12)	+1 (203:04)	+ (79:08)	+ (15:53)	+1 (94:51)	10	1018	G
3	Moscow IPT 1 (Golovanov, Uvarov, Machula)	+1 (107:36)	.	+ (215:30)	.	+ (17:14)	+ (45:14)	+ (25:06)	.	.	+1 (297:39)	+ (136:16)	+ (34:12)	+2 (116:50)	9	1072	G
4	International IT U 1 (Satylkhanov, Baimukanov, Kuanyshbay)	+ (77:23)	-12	+1 (222:33)	.	+ (67:32)	+1 (36:35)	+ (27:29)	.	.	.	+ (192:52)	+ (21:58)	+1 (159:38)	8	861	G
5	SPb ITMO University 2 (Poduremennykh, Naumov, Korobkov)	+1 (67:47)	-16	+1 (127:40)	.	+ (22:15)	+1 (79:34)	+ (29:18)	.	-1	.	+ (246:04)	+ (17:23)	+3 (173:51)	8	880	S
6	Moscow IPT 5 (Grigoriev, Tretyakov, Shpakovskij)	+ (92:05)	.	+ (252:43)	.	+ (44:01)	+1 (66:54)	+1 (23:08)	.	.	-4	+ (162:04)	+ (11:06)	+1 (189:53)	8	899	S
7	SPb ITMO University 4 (Anoprenko, Rakhmatullin, Tsaplin)	+2 (42:03)	.	+ (228:27)	.	+ (65:41)	+ (50:01)	+ (15:51)	.	.	+4 (261:33)	.	+ (8:06)	+ (122:33)	8	911	S
8	SPb br of NRU HSE 1 (Ermilov, Fedorov, Labutin)	+2 (92:19)	.	+ (161:35)	.	+ (107:05)	+ (42:28)	+ (56:39)	.	.	.	+1 (250:14)	+ (14:36)	+2 (211:36)	8	1033	S
9	U of Latvia 2 (Klevickis, Pretkalnins, Pakalns)	+ (123:57)	.	+ (286:11)	.	+ (35:26)	+ (79:21)	+ (42:28)	.	.	-1	+ (248:49)	+ (19:15)	+1 (192:20)	8	1044	B
10	SPb SU 5 (Grebennikov, Fadeeva, Zavarin)	+ (222:07)	.	+ (272:00)	.	+ (60:07)	+ (40:14)	+ (37:46)	.	.	.	+1 (131:13)	+ (13:41)	+2 (290:20)	8	1125	B
11	Belarusian SU 1 (Lukyanov, Rak, Kim)	+3 (218:36)	.	+1 (256:01)	.	+ (43:18)	+ (59:07)	+ (33:16)	.	.	-3	+1 (219:24)	+ (7:35)	+ (196:01)	8	1131	B
12	SPb SU 2 (Milshin, Fedorov, Filippov)	+ (149:08)	.	+3 (293:57)	.	+ (54:57)	+ (29:38)	+ (38:57)	.	.	.	+ (289:54)	+2 (20:30)	+2 (155:31)	8	1167	B
