Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Kazakh NTU	+ (236:11)	+1 (15:22)	-7	.	.	.	+1 (145:18)	-9	+ (29:28)	+ (44:25)	.	5	509
2	Suleyman Demirel U 7	.	+1 (32:51)	-16	.	.	.	-2	.	+2 (49:17)	+2 (125:50)	.	3	306
3	Kazakh-British TU 1	.	+ (36:50)	-7	.	.	.	-13	.	+ (46:09)	+3 (180:06)	.	3	322
4	Suleyman Demirel U 8	.	+2 (114:46)	-5	.	.	.	.	.	+2 (82:26)	+2 (139:52)	.	3	455
5	AIPET4	.	+2 (89:11)	-2	.	-3	.	.	.	+ (57:11)	+2 (244:23)	.	3	470
6	Kazakh-British TU 6	.	+1 (58:17)	-3	.	.	.	.	.	+2 (130:07)	+2 (245:43)	.	3	533
7	Kazakh-British TU 2	.	+5 (101:18)	-3	.	.	.	.	-2	+3 (85:59)	+2 (277:11)	.	3	663
8	Suleyman Demirel U 6	.	+ (21:44)	.	.	-2	.	-1	.	+ (37:43)	-1	.	2	58
9	AIPET1	.	+ (30:07)	-17	.	.	.	-4	.	+ (44:21)	.	.	2	74
10	Kazakh-British TU 12	.	+ (36:39)	-1	.	.	.	-2	.	+ (48:07)	-2	.	2	84
11	Kazakh-British TU 5	.	+1 (46:31)	-5	.	.	.	-6	.	+ (21:28)	.	.	2	87
12	Karaganda STU 1	.	+ (37:25)	-4	.	.	.	-7	.	+ (53:03)	.	.	2	90
13	Suleyman Demirel U 3	.	+ (65:58)	-1	.	.	.	.	.	+ (43:36)	-7	.	2	108
14	Suleyman Demirel U 9	.	+ (45:56)	.	.	-2	.	-4	-3	+1 (73:22)	-1	.	2	138
15	Astana MSU	.	+ (121:55)	.	.	.	.	-2	.	+ (63:18)	-10	.	2	184
16	Kazakh-British TU 11	.	+2 (82:38)	-5	.	.	.	-1	.	+1 (47:12)	.	.	2	189
17	Suleyman Demirel U 2	.	+2 (81:58)	-3	.	-1	.	-3	.	+1 (60:43)	.	.	2	201
17	AIPET: NILS9	.	+ (46:57)	-4	.	.	.	.	-8	+1 (135:15)	-2	.	2	201
19	Eurasian NU4	.	+3 (112:38)	-3	.	-2	.	.	.	+ (80:29)	-11	.	2	252
20	West Kazakhstan SU1	.	+ (64:15)	.	.	.	.	-3	.	+3 (134:20)	.	.	2	258
21	Kazakh NTU 4: ABB	.	+1 (97:55)	-2	.	.	.	-3	.	+1 (144:17)	.	.	2	281
22	West Kazakhstan SU2	.	+1 (97:22)	.	.	.	.	.	.	+ (187:26)	.	.	2	304
23	Eurasian NU1	.	+2 (114:45)	-4	.	.	.	-14	.	+4 (95:33)	.	.	2	329
24	iktu2	.	+3 (129:02)	-28	.	.	.	.	.	+4 (80:41)	.	.	2	349
25	Kazakh-British TU 8	.	+6 (132:03)	-26	.	.	.	.	.	+ (98:44)	-1	.	2	350
26	Kazakh-British TU 10	.	+2 (174:50)	.	.	.	.	.	.	+3 (90:09)	.	.	2	364
27	Kazakh-British TU 4	.	+7 (89:27)	-4	.	.	.	-15	.	+2 (147:58)	.	.	2	416
27	KazNPU	.	+1 (155:47)	-5	.	-2	.	.	.	+2 (201:13)	.	.	2	416
29	Kazakh NU 11	.	+1 (150:50)	.	.	-1	.	.	.	+1 (245:45)	.	.	2	435
