Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
1	International IT University 1 (Kim, Sultan, Satylkhanov)	+ (6:21)	+ (34:40)	+ (151:31)	+ (80:24)	+1 (25:46)	.	.	+ (53:34)	+3 (292:22)	+1 (64:57)	+ (102:44)	+ (18:53)	10	925
2	Kazakh-British Technical University 1 (Utemuratov, Nurmash, Mussayev)	+ (7:08)	+1 (72:41)	+ (159:41)	+1 (136:20)	+ (21:32)	.	.	+ (65:27)	+ (283:23)	+1 (103:10)	+ (38:28)	+ (25:47)	10	969
3	Nazarbayev University 1 (Adilbekov, Kalmurzayev, Myrzakerey)	+ (5:16)	+1 (62:03)	+ (210:11)	+ (82:12)	+ (29:47)	.	-2	+ (38:51)	+2 (292:18)	+ (114:49)	+ (153:41)	+ (11:24)	10	1056
4	Kazakh-British Technical University 10 (Zhussupov, Amanov, Bekbolatuly)	+ (9:14)	+ (53:41)	+ (145:05)	+ (126:26)	+2 (56:18)	.	.	+1 (135:43)	+ (172:16)	+ (89:27)	+3 (152:29)	+ (17:38)	10	1074
5	Kazakh-British Technical University 12 (Dyussenaliyev, Auganov, Aitzhan)	+ (16:30)	+ (91:20)	+ (184:32)	+ (275:32)	+2 (82:18)	.	.	+ (179:39)	+1 (230:07)	+ (133:49)	+ (99:04)	+ (39:44)	10	1388
6	Nazarbayev University 14 (Khaitov, Jubatyrov, Orynkul)	+ (5:27)	+ (36:26)	+ (114:05)	+ (173:50)	+1 (25:33)	-1	.	+ (141:44)	.	+1 (188:29)	+1 (105:55)	+ (40:56)	9	887
7	Nazarbayev University 10 (Serikov, Kassenov, Zarlyk)	+ (4:26)	+ (56:16)	+ (206:11)	+ (88:40)	+3 (42:40)	.	.	+ (72:52)	-4	+ (199:57)	+2 (132:36)	+ (10:29)	9	909
8	International IT University 3 (Chzhen, Dauirkhan, Talgatov)	+ (8:12)	+1 (47:47)	-1	+ (165:27)	+ (23:04)	.	.	+ (99:25)	-2	+ (101:23)	+3 (66:04)	+ (14:53)	8	603
9	Nazarbayev University 4 (Sariyev, Imanmalik, Zhiyenbek)	+1 (5:02)	+ (18:48)	+ (117:54)	+1 (273:25)	+ (46:45)	-1	.	+ (109:04)	-2	-13	+1 (252:35)	+ (32:15)	8	912
10	Kazakh National University named Al-Farabi 1 (Kovalev, Dautalinov, Berdibekov)	+1 (4:42)	+ (53:25)	+ (243:21)	-1	+ (27:58)	.	.	+ (155:38)	-5	+2 (201:31)	+4 (167:08)	+ (35:12)	8	1025
11	Nazarbayev University 2 (Kabdygali, Aitzhanov, Ilyassov)	+ (9:39)	+2 (93:30)	+1 (218:53)	.	+1 (49:57)	.	.	+ (100:03)	.	+2 (294:31)	+1 (184:35)	+ (21:31)	8	1108
12	Kazakh-British Technical University 13 (Omarov, Dyussenaliyev, Sultanov)	+ (8:47)	+ (47:00)	+1 (190:56)	.	+ (34:53)	.	.	+ (91:21)	.	-2	+ (144:46)	+ (15:33)	7	549
13	Kazakh-British Technical University 11 (Amanov, Akhanov, Bolatbekov)	+ (6:54)	+ (31:55)	-2	+2 (196:15)	+ (46:43)	.	.	+ (142:45)	.	+2 (253:03)	-12	+ (15:32)	7	769
14	Kazakh-British Technical University 14 (Tolegenov, Rahymbergenov, Toremuratuly)	+ (8:30)	+ (56:58)	+ (215:57)	.	+1 (44:28)	.	.	+1 (109:01)	.	.	+2 (282:26)	+ (28:59)	7	822
15	Kazakh-British Technical University 15 (Zhunussov, Burabayev, Erlanov)	+ (10:51)	+5 (177:09)	+ (215:08)	.	+ (29:51)	.	.	+ (83:04)	.	.	+6 (294:55)	+ (27:09)	7	1055
16	International IT University 7 (Dushayev, Kydyrali, Mukay)	+ (9:51)	+2 (59:27)	+ (111:36)	-1	+ (40:33)	.	.	+ (229:17)	.	.	-12	+ (22:11)	6	510
17	Nazarbayev University 17 (Muryshkin, Khagay, Mademikhanov)	+1 (11:10)	+2 (91:34)	+ (101:23)	.	+1 (59:45)	.	.	+ (144:51)	-2	-2	-7	+ (28:09)	6	514
18	Nazarbayev University 5 (Kali, Khassen, Suleimenov)	+ (10:52)	+1 (101:34)	+2 (156:17)	.	+1 (58:10)	.	.	+ (144:56)	.	.	-5	+ (26:31)	6	575
19	International IT University 5 (Amirov, Magavina, Chesnokov)	+ (11:47)	+4 (105:07)	+2 (163:56)	.	+ (47:26)	.	.	+ (138:33)	.	-7	.	+ (16:59)	6	600
20	SDU 4 (Omarov, Zigangirov, Seitov)    	+ (4:30)	+1 (58:00)	+ (189:11)	.	+ (36:21)	.	.	+3 (252:38)	-1	.	.	+ (18:41)	6	637
21	Kazakh-British Technical University 17 (Bolatov, Burumbay, Seydazimov)	+ (33:25)	+ (95:16)	+2 (242:38)	.	+ (33:54)	.	.	+ (136:02)	.	.	-3	+ (72:24)	6	651
22	Nazarbayev University 13 (Serekov, Svankulov, Sultanagzina)	+ (8:00)	+1 (228:18)	-1	+ (123:15)	+ (31:29)	.	.	+2 (178:03)	.	-6	.	+ (43:54)	6	671
23	Kazakhstan Branch of Moscow State University 1 (Zhuravskaya, Kamalbekov, Abaiuly)	+ (7:44)	+2 (161:37)	+2 (233:58)	.	+3 (165:36)	.	.	+1 (100:21)	.	.	-7	+ (46:01)	6	872
24	SDU 1 (Turapbekov, Abdraimov, Madinyat)	+5 (60:22)	+ (97:20)	+3 (201:50)	.	+1 (65:13)	.	.	+ (259:42)	.	.	.	+ (74:36)	6	936
25	Kazakhstan Branch of Moscow State University 3 (Tleubayev, Taranov, Shoketayeva)	+ (18:25)	+2 (84:07)	-1	-1	+2 (198:18)	-1	-4	+ (142:37)	-8	-8	+5 (292:50)	+1 (33:35)	6	967
26	Kazakh National University named Al-Farabi 3 (Salimzhanov, Lesbek, Zhanbolat)	+ (209:43)	+ (213:16)	+ (236:56)	.	+ (222:34)	.	.	+ (243:51)	.	.	-1	+ (247:25)	6	1370
27	Kazakh-British Technical University 16 (Ibraimov, Odilzoda, Shalgymbay)	+ (8:23)	+3 (70:13)	-1	.	+2 (40:47)	.	.	+1 (167:38)	.	.	-4	+ (25:06)	5	430
28	SDU 5 (Khuzhabayev, Amangeldiyev, Lekerov)	+ (6:27)	+4 (161:42)	+2 (51:55)	.	+1 (91:41)	.	.	.	.	.	.	+ (31:54)	5	480
29	Kazakhstan Branch of Moscow State University 4 (Verzhbitski, Taskynov, Sedyakin)	+ (23:01)	+1 (179:11)	-1	.	+1 (89:40)	.	.	+ (203:31)	.	.	.	+ (39:40)	5	573
30	International IT University 9 (Serzhanov, Kabdoldin, Karzhaubaev)	+ (14:27)	+1 (195:16)	+ (256:39)	.	+1 (71:05)	.	.	.	.	.	.	+ (39:27)	5	615
31	Kazakh National University named Al-Farabi 2 (Kapezov, Namazbaev, Adetbekov)	+1 (9:39)	+3 (252:36)	-1	-1	+ (45:54)	.	.	+ (220:21)	.	.	.	+ (24:46)	5	630
