Rank	Team	A	B	C	D	E	F	G	H	I	J	K	=	Time
1	Kazakh-British Technical University 1 (Nurmash, Amanov, Aman)	+ (11:14)	+1 (185:10)	+1 (98:53)	+ (236:23)	.	+ (16:19)	+1 (138:30)	+ (38:50)	+ (51:31)	+ (217:23)	+1 (40:35)	10	1110
2	International IT University 1 (Satylkhanov, Kim, Sultan)	+1 (13:18)	+1 (188:58)	+1 (149:14)	+ (208:49)	-3	+1 (25:18)	+2 (139:36)	+ (71:57)	+ (59:12)	+ (221:07)	+1 (38:36)	10	1251
3	Nazarbayev University 1 (Adilbekov, Kalmurzayev, Aitzhanov)	+ (18:37)	+1 (275:38)	+ (51:38)	+2 (290:12)	.	+ (13:07)	+ (140:56)	+ (103:34)	+2 (93:38)	+ (268:29)	+ (32:52)	10	1383
4	Kazakh-British Technical University 3 (Akhanov, Amanov, Bolatbekov)	+ (12:19)	-3	+ (130:36)	+1 (239:39)	.	+ (7:40)	+ (221:20)	+ (71:32)	+1 (101:18)	-1	+1 (35:06)	8	876
5	Kazakh-British Technical University 5 (Tolegenov, Zhussupov, Toremuratuly)	+ (7:13)	.	+2 (127:29)	+ (281:59)	.	+1 (28:56)	+1 (242:29)	+ (109:07)	+1 (43:24)	-7	+ (17:13)	8	954
6	Kazakh-British Technical University 6 (Mussinov, Aitzhan, Kenzhegaliyev)	+ (9:48)	.	+1 (186:45)	+1 (155:30)	.	+ (18:50)	+3 (272:09)	+ (86:13)	+ (118:01)	.	+ (33:56)	8	977
7	Nazarbayev University 2 (Khagay, Orynkul, Jubatyrov)	+1 (46:20)	.	+ (165:34)	.	.	+1 (23:16)	+6 (275:39)	+ (94:09)	+ (118:38)	+ (286:05)	+ (53:15)	8	1220
8	Kazakh-British Technical University 4 (Seydazimov, Bekbergen, Nezametdinov)	+ (8:14)	.	-4	.	.	+1 (25:29)	+ (119:45)	+1 (163:25)	+ (86:40)	.	+3 (69:24)	6	570
9	Nazarbayev University 3 (Toktasynov, Mademikhanov, Muryshkin)	+ (36:14)	.	.	+ (299:23)	.	+ (47:37)	.	+ (166:54)	+2 (111:08)	.	+ (28:37)	6	727
10	Nazarbayev University 8 (Ilyassov, Manabayev, Kabdygali)	+ (15:00)	.	+1 (244:08)	.	.	+ (22:41)	.	-1	+5 (171:05)	.	+1 (64:38)	5	656
11	Suleyman Demirel University 2 (Zigangirov, Seitov, Zharkyn)	+ (21:34)	.	-6	.	.	+5 (134:26)	.	+ (171:00)	+ (219:23)	-4	+ (18:13)	5	663
12	Eurasian National University named L.N. Gumilev 2 (Aiken, Nurbek, Duisenbaev)	+ (34:47)	.	.	.	.	+1 (84:59)	.	+ (298:28)	+1 (186:02)	.	+ (54:06)	5	696
13	Nazarbayev University 16 (Sailanbayev, Kalidolda, Nurgabylov)	+ (18:09)	.	-9	.	.	+4 (74:48)	.	+ (249:02)	+3 (117:12)	.	+2 (85:33)	5	723
14	Kazakh National University named Al-Farabi (Makhpirov Alisher, Pazylbayev Oibek) 	+1 (105:39)	.	.	.	.	+3 (244:52)	.	+1 (264:04)	+ (248:57)	.	+ (246:46)	5	1207
15	Kazakh National University named Al-Farabi 4 (Kassymbek, Mustafin, Torekul)	+11 (115:28)	.	+3 (279:11)	.	.	+11 (249:12)	.	.	+1 (261:33)	.	+4 (246:33)	5	1750
